shoe,x,y,type,orientation,grade
1,0.003638,0.184599,2,-52.89387,2.971577
1,-0.166183,0.117598,2,27.923356,1.663992
1,-0.110914,0.095567,2,-56.915279,7.168706
1,-0.094182,0.089869,1,31.808141,27.386611
1,-0.0742,0.092315,2,47.195742,9.453622
1,-0.060302,0.050104,2,-19.518728,10.090596
1,-0.114605,-0.162745,2,-29.657072,1.658873
1,-0.109232,-0.319013,1,78.874021,28.700616
1,0.051108,-0.250503,2,53.913526,7.221614
1,0.090384,-0.32862,1,36.674837,11.281835
1,-0.133094,-0.104023,1,44.003886,13.937565
1,-0.075006,0.237152,1,-47.91239,10.184558
1,-0.007477,-0.407284,4,31.004129,2.343392
1,-0.167549,0.263287,1,-9.250298,10.41758
1,0.008566,0.232304,1,-73.403887,52.63965
1,0.047888,0.192291,2,8.449892,4.446649
1,-0.08884,0.401116,1,11.819817,188.089303
1,0.043076,0.31475,1,-11.593883,11.874442
1,-0.030925,0.350014,2,-7.982096,7.95204
1,-0.18213,0.171066,2,-5.403537,3.665496
1,-0.156887,0.170698,2,-32.666918,1.591882
2,0.034415,-0.325151,1,-36.870853,10.780262
2,-0.05645,0.370712,1,-37.143186,47.250248
2,-0.059859,0.083126,2,-50.001425,8.71593
3,-0.053698,0.069886,2,46.030968,3.416378
3,-0.011523,0.09253,2,-75.271059,3.149345
3,-0.070107,-0.473555,1,-34.191369,23.763605
3,-0.014456,0.33623,2,-38.269391,2.637577
3,-0.154158,0.292708,2,-26.553618,2.073014
3,-0.171622,0.225503,2,25.128471,2.900466
3,-0.168466,0.250108,2,-50.785572,1.73303
3,-0.163964,0.250261,2,9.215119,2.240235
3,-0.18676,0.129722,2,32.943721,1.779211
3,-0.169825,0.155199,2,37.504855,3.661751
3,-0.168789,0.159442,2,-74.757169,1.634904
4,0.0838,0.441518,2,-54.124561,6.740518
4,-0.041351,0.44032,4,0.390084,2.399132
5,-0.093531,-0.254637,1,5.251544,22.485058
5,-0.078952,-0.263476,2,89.048335,6.281619
5,0.04345,0.217162,1,54.492126,16.887642
5,0.04043,0.221057,2,39.145038,9.925585
5,0.055145,0.069128,2,-0.883321,15.491
5,0.043454,0.012908,2,28.073039,2.163694
5,0.041914,0.024894,2,-66.38006,5.546132
5,0.05028,0.039611,2,-61.623614,2.537499
5,0.051678,0.011966,2,60.175845,4.708869
5,0.045101,0.040607,2,-61.818251,3.642763
5,-0.003545,0.028265,2,64.066659,2.382592
5,-0.011868,0.007316,6,11.115028,65.832859
5,-0.071722,-0.227751,2,88.712295,2.540539
5,-0.012898,0.037192,6,3.422008,150.681366
5,-0.020609,0.004504,2,-1.261786,1.352674
5,0.003348,0.085511,4,-35.879498,7.137025
5,-0.024369,0.068406,2,3.773531,5.066046
5,-0.025391,0.063717,2,-42.509704,5.709088
5,-0.000994,0.140634,2,54.916779,2.362805
5,0.005629,0.215957,2,74.74891,4.396859
5,-0.00931,0.280894,1,-30.269686,100.464702
5,-0.004655,0.283333,2,12.86655,2.5643
5,-0.020271,0.265313,2,-73.065693,5.047762
5,-0.069022,-0.233523,1,5.187787,17.107011
5,-0.008687,0.464819,2,56.728227,10.992208
5,0.007416,0.414544,2,-58.649614,1.47198
5,0.033739,0.449021,2,-54.67747,1.949847
5,-0.063702,0.458566,2,-14.365917,2.954728
5,-0.046206,0.466675,2,28.58983,10.862747
5,-0.045985,0.406425,2,87.987573,5.013377
5,-0.061349,0.387756,6,-7.19423,79.615693
5,-0.113367,-0.047556,2,-24.759276,11.029228
5,-0.12618,-0.037267,4,78.39864,20.353453
5,-0.12358,-0.023468,1,79.448966,15.200541
5,-0.063409,-0.224143,2,39.999939,2.007342
5,-0.116115,-0.037736,2,-6.935191,17.264809
5,-0.128762,-0.026797,2,6.940596,3.633757
5,-0.109123,-0.020577,6,-0.301429,139.013972
5,-0.130384,0.006366,2,-3.585558,5.369712
5,-0.117406,0.006443,2,65.4856,6.032086
5,-0.087591,0.092343,2,-36.972388,3.102174
5,-0.090665,0.066424,1,76.024119,15.034442
5,-0.079878,0.091437,2,-84.538877,3.691993
5,-0.076595,0.062002,4,-65.12105,2.907325
5,-0.08897,0.064409,1,75.258164,11.428611
5,-0.066584,-0.241701,2,59.067498,2.622853
5,-0.070466,0.085293,2,-82.919835,6.200915
5,-0.093151,0.0973,2,15.875502,7.512015
5,-0.086535,0.127005,1,-62.477856,9.889529
5,-0.108946,0.157891,2,88.622563,4.21187
5,-0.051293,0.346634,4,-79.247261,6.372721
5,-0.054259,0.331573,2,79.709937,7.7472
5,-0.10638,0.279806,6,76.359792,91.520622
5,-0.144151,0.058602,2,7.346639,4.516034
5,-0.16246,0.137275,2,-29.603436,1.288178
5,-0.048357,-0.259722,4,88.799676,15.945053
5,-0.151058,-0.265066,4,87.683725,25.875454
5,-0.051446,-0.277481,2,77.361688,3.869439
5,-0.062598,-0.280268,2,22.342242,2.759503
5,-0.064276,-0.291331,2,72.699274,4.723425
5,-0.128982,-0.244406,2,36.598705,6.609855
5,-0.092623,-0.286715,2,55.481391,5.709228
5,-0.114693,-0.303282,2,-16.935651,1.112105
5,-0.082757,-0.403188,2,5.614236,2.307777
5,-0.053976,-0.407686,2,-54.422896,3.035748
5,-0.09138,-0.477337,2,86.005321,2.881963
5,-0.111424,-0.435402,2,26.800093,3.822196
5,-0.10393,-0.421269,1,-31.495836,67.717301
5,-0.085896,-0.426918,2,52.781652,2.036513
5,-0.072074,-0.384084,2,-11.644658,5.663748
5,-0.047167,-0.40096,6,-67.366157,18.304542
5,-0.089855,-0.233958,2,-15.96777,2.707127
5,-0.093684,-0.455378,2,-81.595783,6.06955
5,-0.077707,-0.456756,2,86.905242,10.906885
5,-0.093672,-0.436912,6,20.703031,2.266606
5,-0.07721,-0.436303,6,61.018473,1.539413
5,-0.04461,-0.468397,2,83.688028,3.220213
5,-0.051039,-0.393613,4,44.758463,10.71093
5,0.05633,-0.418328,2,-68.305323,6.184095
5,0.047702,-0.439857,2,44.0769,2.034462
5,0.056526,-0.407559,1,69.318218,73.842701
5,0.074231,-0.402107,2,0.732523,5.518104
5,-0.106257,-0.241413,2,-54.324648,4.389929
5,0.081658,-0.425347,1,-83.579911,24.924383
5,0.126578,-0.428765,2,66.931311,2.008771
5,0.025019,-0.446566,2,-85.790119,2.167751
5,0.05005,-0.395215,4,-68.242449,2.322635
5,0.09226,-0.25914,2,85.595753,8.562513
5,0.074472,-0.260427,2,-62.365216,4.474937
5,0.086386,-0.278488,2,-78.734526,2.73041
5,0.07765,-0.251437,2,-80.857042,5.950138
5,0.052575,-0.273261,1,-87.603017,289.255361
5,0.035949,-0.283514,4,-61.450348,5.798056
5,-0.110895,-0.226532,2,-43.004103,9.392334
5,0.049405,-0.279613,1,86.74436,21.016935
5,0.082186,-0.237533,2,-52.674735,3.376117
5,0.065901,-0.318832,4,-20.361517,6.741494
5,0.094561,-0.305261,2,85.789538,13.659484
5,0.048438,-0.244868,2,60.51054,10.027331
5,0.076509,-0.413231,2,-77.950071,2.936319
5,0.101365,-0.433123,2,-25.999738,2.193522
5,0.088817,-0.392947,6,-16.211024,57.735371
5,-0.048251,-0.073407,2,-48.087229,2.195399
5,-0.054528,-0.062367,2,88.886509,2.877779
5,-0.055195,-0.046416,1,47.564578,12.557348
5,-0.060476,-0.024974,2,-2.966675,5.317157
5,-0.065757,-0.031439,2,-83.700728,7.904766
5,-0.063114,-0.044397,2,-64.453168,9.821764
5,-0.038013,-0.0778,2,-30.489735,3.90551
5,-0.016459,-0.069081,2,49.338969,1.416104
5,-0.019315,-0.083648,1,-53.733272,20.25212
5,0.028088,-0.033304,1,-70.276257,53.235435
5,0.0304,-0.02743,2,-47.975728,2.953001
5,0.013898,-0.070627,6,32.545798,11.63829
5,-0.104161,-0.272319,2,-23.970685,3.116646
5,0.077647,-0.044033,4,73.816635,8.73353
5,0.093774,-0.014992,2,55.241007,3.607556
5,0.089448,-0.012972,2,-26.354567,1.496689
5,0.067344,-0.039175,2,7.932081,14.190847
5,0.072743,-0.043678,2,58.650437,3.983888
5,0.092854,0.037139,4,-35.923886,7.552677
5,0.147958,0.175127,2,-9.326963,4.809995
